iter	Logloss
0	0.6874360717
1	0.6811576167
2	0.675398707
3	0.6694622448
4	0.6633276517
5	0.6579149345
6	0.6531279211
7	0.6475215994
8	0.6428139596
9	0.6378832243
10	0.6330679797
11	0.6286728419
12	0.6238918946
13	0.6188712397
14	0.6135100852
15	0.6092563827
16	0.6044765087
17	0.6001545384
18	0.5952380819
19	0.59059941
20	0.586731657
21	0.5825404363
22	0.5787050206
23	0.5750262059
24	0.571185564
25	0.5673218707
26	0.5637170168
27	0.5602534583
28	0.5566133738
29	0.5526737131
30	0.5488480034
31	0.5452017128
32	0.5423980153
33	0.5391206421
34	0.535693714
35	0.5326016394
36	0.5293465244
37	0.5262796944
38	0.5231544891
39	0.5199811743
40	0.5169936247
41	0.5137132184
42	0.5113063427
43	0.5089074931
44	0.5061803229
45	0.5039408739
46	0.5010269118
47	0.4987937624
48	0.4963261316
49	0.493543899
50	0.4912970773
51	0.4890746604
52	0.4865376417
53	0.4841710362
54	0.4817508616
55	0.4799599837
56	0.477587032
57	0.4750558462
58	0.4727060394
59	0.4705108736
60	0.4683968547
61	0.466393147
62	0.4643607883
63	0.4625028558
64	0.4604047023
65	0.4587060771
66	0.4570039055
67	0.4554396696
68	0.4539239633
69	0.4520734035
70	0.4506224653
71	0.4488515125
72	0.4471729524
73	0.4453307452
74	0.4439203571
75	0.4423082451
76	0.440544805
77	0.4393211621
78	0.4376392423
79	0.4362611916
80	0.4348719419
81	0.4331221741
82	0.431565311
83	0.429948066
84	0.4285280653
85	0.4271593473
86	0.4258701429
87	0.4244275574
88	0.4232516507
89	0.4221031819
90	0.4210713704
91	0.4196387241
92	0.4184345397
93	0.4173824299
94	0.4161762389
95	0.4152063959
96	0.4140840583
97	0.4128887865
98	0.4119186635
99	0.4106893277
100	0.4096278853
101	0.4085833815
102	0.4073920294
103	0.4062219089
104	0.4050552415
105	0.4040215635
106	0.4029413626
107	0.4018377835
108	0.4010062961
109	0.4001345853
110	0.3993585336
111	0.3983669456
112	0.3975750751
113	0.3967511938
114	0.3957429938
115	0.3947592452
116	0.3937990148
117	0.3929611813
118	0.3923252117
119	0.3913445429
120	0.3906048883
121	0.3899669589
122	0.3890773762
123	0.3882842924
124	0.3875582634
125	0.386652022
126	0.385954364
127	0.3852932898
128	0.3843892882
129	0.3838878013
130	0.3832146414
131	0.3824700872
132	0.3817688362
133	0.3810379775
134	0.3804867946
135	0.3797008269
136	0.3791631296
137	0.378477464
138	0.3778139867
139	0.3770559235
140	0.3764405323
141	0.3759286396
142	0.3753873259
143	0.3746280262
144	0.3741290358
145	0.3733966606
146	0.3728767885
147	0.372257431
148	0.3717644601
149	0.3711287472
150	0.3706154546
151	0.3701924315
152	0.369607418
153	0.3689851907
154	0.3683821652
155	0.3679791138
156	0.3674080992
157	0.3669368266
158	0.3662856449
159	0.3656695538
160	0.3651204707
161	0.3647250021
162	0.3643086518
163	0.3638236603
164	0.3633638668
165	0.3629197287
166	0.3624221148
167	0.3619212813
168	0.3613851705
169	0.3608475665
170	0.3602188064
171	0.3596838155
172	0.3593313935
173	0.358837186
174	0.3583774625
175	0.3578159204
176	0.3573724589
177	0.356921928
178	0.3564783265
179	0.3558498931
180	0.3553994088
181	0.3548978286
182	0.3544846281
183	0.3539360583
184	0.3535264508
185	0.3530948417
186	0.3526191828
187	0.352272617
188	0.3519196583
189	0.3515877913
190	0.3510825714
191	0.3506288908
192	0.3501577115
193	0.3495980826
194	0.3491899683
195	0.3487279116
196	0.3483794793
197	0.3481064776
198	0.3476961235
199	0.3473946574
200	0.3469861465
201	0.3465036515
202	0.3461342908
203	0.3457268764
204	0.3453887566
205	0.3450339548
206	0.3445950429
207	0.3442193361
208	0.3438657008
209	0.3434907172
210	0.3432983025
211	0.3429368512
212	0.3426212696
213	0.3422920624
214	0.3419512128
215	0.3415954776
216	0.3412817859
217	0.3410140105
218	0.3407344993
219	0.3403639254
220	0.3400776248
221	0.3397266726
222	0.3394708196
223	0.3391019022
224	0.3387736283
225	0.3383675205
226	0.33799564
227	0.3376547904
228	0.3373903047
229	0.336999829
230	0.3367681941
231	0.3363988334
232	0.3361194856
233	0.3359067258
234	0.3356005934
235	0.335286225
236	0.3349272002
237	0.3345990662
238	0.334345593
239	0.3340660818
240	0.3337606261
241	0.3335829102
242	0.3334400515
243	0.3330903826
244	0.3329139966
245	0.3326150737
246	0.3323888283
247	0.3321431011
248	0.3318931976
249	0.3316892338
250	0.3312994347
251	0.330985953
252	0.3306741977
253	0.3304138184
254	0.3301905827
255	0.3298305313
256	0.3295855041
257	0.3293275746
258	0.3291994147
259	0.3289249199
260	0.3286542047
261	0.3284199799
262	0.3281969076
263	0.3279560801
264	0.3276460047
265	0.3273709732
266	0.3271785818
267	0.3269465735
268	0.3266959467
269	0.3264123992
270	0.3261958131
271	0.3259434131
272	0.3256550827
273	0.325294448
274	0.3250361685
275	0.3247424484
276	0.3245307852
277	0.3243681181
278	0.3241465624
279	0.3239327994
280	0.323744001
281	0.3235400139
282	0.3233102688
283	0.3231332761
284	0.3229531104
285	0.3228026224
286	0.3225273809
287	0.322332353
288	0.3221278526
289	0.3220442792
290	0.3218264332
291	0.3215793528
292	0.3213944975
293	0.3211875706
294	0.3209594587
295	0.320779293
296	0.3205380688
297	0.3203473806
298	0.3201676815
299	0.3199164481
300	0.3197085413
301	0.3195307087
302	0.3193401372
303	0.3191636112
304	0.3189966044
305	0.3187253993
306	0.3185534463
307	0.3184487812
308	0.3182775982
309	0.3180285813
310	0.3178872858
311	0.3176926312
312	0.317397698
313	0.317074137
314	0.316846795
